station,tau_star,rmse_star,p_beats_global
Babat,75,0.793722146112994,1.0
Bojonegoro - Kali Kethek,15,2.047809503983536,1.0
Boboh Kali Lamong,15,1.0475500352055989,1.0
Jurug,10,3.3916349055633725,1.0
Floodway Bridge C,5,1.2007305955644874,1.0
Cepu,5,1.2901732878882917,1.0
Gunungsari,15,0.5775446173816746,1.0
Napel,5,1.4632593762190753,1.0
Sumberrejo,30,1.2415441705177583,1.0
Serenan,10,0.6807221129912715,1.0
Kedungupit,10,1.354873126527334,1.0
Ketonggo,5,1.4952026245603802,1.0
Kali Pepe - PTPN,90,0.2821181182391553,1.0
Kali Anyar - Kreteg Abang,150,0.43787091248602683,1.0
Colo Weir,10,0.8913584899675666,0.9933333333333333
Wonogiri Dam,25,2.634014924439386,0.9933333333333333
Sekayu,15,0.6280601652167501,0.9866666666666667
Kali Pepe - Tugu Boto,40,0.4827979763066036,0.9866666666666667
Lorog,30,0.27176493745706276,0.97
Arjowinangun - Pacitan,25,0.4755358343729556,0.9466666666666667
Kajangan,5,1.0308210983962762,0.9333333333333333
Brangkal,40,0.7759205338292018,0.92
Bengkelolor,10,0.9677566977619053,0.89
Ngrembang,150,0.3387753733065826,0.83
Karanggeneng,25,0.8327012565411491,0.7966666666666666
Jarum,15,0.5620663031106327,0.7633333333333333
Karangnongko,15,1.3814634322464714,0.5366666666666666
Badegan,20,0.27991156361389113,0.0
Peren,20,3.122943465553719,0.0
Ngadipiro,20,0.31526714925865007,0.0
