iter	RMSE
0	44.49298274
1	42.35356254
2	40.28857647
3	38.33223512
4	36.47147985
5	34.73181494
6	33.05580924
7	31.44499636
8	29.92349375
9	28.49413047
10	27.12780704
11	25.81524289
12	24.57490685
13	23.39018005
14	22.27039525
15	21.18588965
16	20.16735626
17	19.19819793
18	18.27557205
19	17.39053337
20	16.56607188
21	15.75503209
22	14.99945422
23	14.28940078
24	13.60169573
25	12.94821475
26	12.33030569
27	11.74269778
28	11.18316364
29	10.66141391
30	10.15625248
31	9.677915808
32	9.220654859
33	8.783028073
34	8.368814875
35	7.975862299
36	7.604055996
37	7.256074301
38	6.924460021
39	6.609538621
40	6.305666906
41	6.019468154
42	5.748772921
43	5.499385424
44	5.25671901
45	5.023906731
46	4.809482988
47	4.601399671
48	4.405077117
49	4.220287131
50	4.047923436
51	3.883548212
52	3.724795867
53	3.576709659
54	3.439318695
55	3.308474292
56	3.183634056
57	3.069094089
58	2.959762811
59	2.853661715
60	2.755267786
61	2.666321743
62	2.581039808
63	2.49828291
64	2.421738379
65	2.351780406
66	2.288482077
67	2.228256747
68	2.168137637
69	2.115096132
70	2.065523009
71	2.019382874
72	1.976159165
73	1.937318947
74	1.900891641
75	1.865589946
76	1.825581253
77	1.795543923
78	1.767518631
79	1.741940195
80	1.717811117
81	1.688367808
82	1.667536366
83	1.645988376
84	1.627799707
85	1.604409095
86	1.587891875
87	1.572714804
88	1.553941918
89	1.541041691
90	1.526851181
91	1.515547261
92	1.498935578
93	1.489614839
94	1.473599188
95	1.464155495
96	1.457726941
97	1.451860977
98	1.444647852
99	1.438676952
100	1.428596232
101	1.418201941
102	1.406025366
103	1.400043117
104	1.395892702
105	1.390752588
106	1.379726862
107	1.375638839
108	1.372403991
109	1.369269764
110	1.364507173
111	1.353904767
112	1.348210387
113	1.343800266
114	1.340896509
115	1.338293075
116	1.335062065
117	1.326721474
118	1.318185525
119	1.315055469
120	1.303957854
121	1.294656737
122	1.286098393
123	1.276881825
124	1.268175422
125	1.259345391
126	1.256684631
127	1.249093855
128	1.241145229
129	1.233425269
130	1.230106182
131	1.226784143
132	1.223876576
133	1.220586256
134	1.21284826
135	1.205559773
136	1.203475158
137	1.200827319
138	1.1928924
139	1.186048277
140	1.179222957
141	1.172381291
142	1.170390215
143	1.164036512
144	1.156779006
145	1.154257365
146	1.152158316
147	1.149855857
148	1.148773307
149	1.145305675
150	1.144164699
151	1.138139302
152	1.131644489
153	1.125553281
154	1.11930145
155	1.114337998
156	1.111096125
157	1.105168857
158	1.10177107
159	1.096129645
160	1.090997803
161	1.085472235
162	1.080210477
163	1.079269052
164	1.07715316
165	1.072045527
166	1.065484252
167	1.063772777
168	1.058963328
169	1.057372257
170	1.052154995
171	1.047217036
172	1.04255496
173	1.040133742
174	1.037486838
175	1.035382578
176	1.034451659
177	1.029363892
178	1.024099177
179	1.02203765
180	1.016688072
181	1.012736211
182	1.011601763
183	1.010538349
184	1.006112251
185	1.00471097
186	1.002204012
187	0.9974550004
188	0.9941605544
189	0.9931884969
190	0.9906039622
191	0.986441193
192	0.9822699625
193	0.9806042504
194	0.9767932836
195	0.9714689962
196	0.9697594121
197	0.9674345659
198	0.963977037
199	0.9599361918
200	0.9585720512
201	0.9569263092
202	0.9536262382
203	0.9524230692
204	0.9504662748
205	0.9487060525
206	0.9444036835
207	0.9413232799
208	0.9380230563
209	0.9373718745
210	0.9346950519
211	0.9303225207
212	0.9283224935
213	0.9250771515
214	0.9221002541
215	0.9201937673
216	0.9195519446
217	0.9184908083
218	0.9149111621
219	0.9121673706
220	0.9094742597
221	0.9053441871
222	0.9035385237
223	0.9008928427
224	0.8983388345
225	0.8957718154
226	0.8932540812
227	0.8908691807
228	0.8886459525
229	0.8875107091
230	0.8864884177
231	0.8843919848
232	0.883523571
233	0.8812076593
234	0.8794661656
235	0.8783058267
236	0.8753839666
237	0.8730451594
238	0.8721641258
239	0.8707651812
240	0.8685010491
241	0.8662857138
242	0.864575376
243	0.8624913833
244	0.8603870527
245	0.8583612074
246	0.8572999746
247	0.8552342149
248	0.8542368898
249	0.8526531328
250	0.85181278
251	0.8505104616
252	0.8485965492
253	0.8459159703
254	0.8426408176
255	0.8402702385
256	0.8391183257
257	0.8372828059
258	0.8348257514
259	0.8320224006
260	0.8302623359
261	0.8262337925
262	0.8250279462
263	0.8233134262
264	0.8210476454
265	0.8197062888
266	0.818847672
267	0.8170153441
268	0.8153228936
269	0.8122894513
270	0.8109539524
271	0.8092863474
272	0.8076031139
273	0.8067774998
274	0.8050858592
275	0.8035342996
276	0.8020666621
277	0.8012634776
278	0.7997524866
279	0.7982585828
280	0.796730799
281	0.7952945767
282	0.7939240317
283	0.7927708034
284	0.7906628332
285	0.7895652977
286	0.7866326285
287	0.7851998502
288	0.7838373671
289	0.7824864691
290	0.7812268312
291	0.7795026389
292	0.778153583
293	0.7773259441
294	0.7763212927
295	0.774582205
296	0.7732898837
297	0.771220231
298	0.7704678073
299	0.7687627163
