iter	Passed	Remaining
0	186	55739
1	213	31802
2	240	23778
3	266	19688
4	292	17229
5	318	15605
6	345	14462
7	371	13574
8	398	12898
9	425	12344
10	452	11880
11	477	11460
12	503	11106
13	529	10809
14	554	10544
15	581	10328
16	608	10134
17	635	9962
18	666	9858
19	693	9711
20	719	9565
21	746	9426
22	771	9294
23	797	9169
24	825	9077
25	852	8984
26	879	8895
27	904	8787
28	930	8692
29	956	8605
30	982	8527
31	1009	8452
32	1036	8388
33	1063	8316
34	1089	8247
35	1116	8184
36	1142	8117
37	1169	8060
38	1195	8002
39	1223	7953
40	1250	7900
41	1276	7841
42	1303	7792
43	1329	7735
44	1356	7684
45	1381	7630
46	1406	7573
47	1433	7526
48	1460	7480
49	1486	7434
50	1513	7387
51	1539	7342
52	1565	7297
53	1574	7172
54	1602	7138
55	1628	7097
56	1657	7067
57	1683	7024
58	1710	6987
59	1737	6948
60	1763	6911
61	1790	6872
62	1815	6831
63	1843	6796
64	1872	6770
65	1904	6753
66	1932	6720
67	1960	6688
68	1986	6651
69	2013	6617
70	2040	6581
71	2068	6550
72	2098	6525
73	2128	6500
74	2156	6469
75	2184	6438
76	2211	6404
77	2239	6372
78	2265	6336
79	2291	6302
80	2319	6271
81	2347	6241
82	2373	6206
83	2400	6173
84	2427	6139
85	2454	6106
86	2491	6100
87	2529	6093
88	2571	6096
89	2599	6066
90	2627	6035
91	2653	5999
92	2682	5969
93	2707	5933
94	2733	5898
95	2759	5863
96	2784	5828
97	2810	5793
98	2837	5760
99	2864	5728
100	2890	5695
101	2917	5662
102	2945	5632
103	2970	5599
104	2999	5569
105	3025	5536
106	3052	5505
107	3077	5471
108	3104	5439
109	3131	5409
110	3158	5377
111	3184	5345
112	3211	5313
113	3239	5284
114	3266	5254
115	3292	5222
116	3319	5192
117	3345	5159
118	3370	5126
119	3397	5095
120	3423	5063
121	3449	5032
122	3475	5001
123	3500	4968
124	3525	4935
125	3551	4904
126	3578	4874
127	3603	4842
128	3630	4812
129	3655	4779
130	3681	4749
131	3708	4719
132	3733	4688
133	3759	4657
134	3785	4626
135	3813	4598
136	3839	4568
137	3866	4539
138	3893	4509
139	3919	4479
140	3945	4449
141	3972	4419
142	4001	4393
143	4032	4368
144	4060	4340
145	4090	4314
146	4118	4287
147	4149	4261
148	4179	4235
149	4205	4205
150	4232	4176
151	4259	4147
152	4287	4119
153	4317	4093
154	4343	4063
155	4370	4034
156	4397	4005
157	4424	3976
158	4450	3946
159	4477	3917
160	4503	3888
161	4529	3858
162	4556	3830
163	4583	3801
164	4611	3772
165	4637	3743
166	4663	3714
167	4694	3688
168	4719	3658
169	4745	3629
170	4771	3599
171	4798	3570
172	4825	3542
173	4851	3513
174	4878	3484
175	4906	3456
176	4931	3427
177	4957	3397
178	4983	3368
179	5011	3340
180	5038	3312
181	5062	3282
182	5088	3253
183	5114	3224
184	5141	3195
185	5167	3167
186	5193	3138
187	5221	3110
188	5248	3082
189	5275	3054
190	5304	3027
191	5331	2998
192	5357	2969
193	5383	2941
194	5408	2912
195	5433	2883
196	5459	2854
197	5486	2826
198	5512	2797
199	5539	2769
200	5566	2741
201	5591	2712
202	5616	2683
203	5643	2655
204	5670	2627
205	5700	2601
206	5726	2572
207	5751	2544
208	5777	2515
209	5805	2488
210	5832	2460
211	5858	2431
212	5884	2403
213	5911	2375
214	5937	2347
215	5964	2319
216	5969	2283
217	5998	2256
218	6028	2229
219	6033	2194
220	6041	2159
221	6068	2132
222	6094	2104
223	6122	2077
224	6149	2049
225	6175	2022
226	6201	1994
227	6228	1966
228	6255	1939
229	6282	1912
230	6288	1878
231	6315	1851
232	6347	1825
233	6377	1798
234	6408	1772
235	6438	1746
236	6468	1719
237	6497	1692
238	6526	1665
239	6555	1638
240	6571	1608
241	6600	1581
242	6627	1554
243	6633	1522
244	6660	1495
245	6687	1467
246	6721	1442
247	6751	1415
248	6778	1388
249	6805	1361
250	6832	1333
251	6859	1306
252	6873	1276
253	6898	1249
254	6925	1222
255	6951	1194
256	6977	1167
257	7006	1140
258	7032	1113
259	7063	1086
260	7093	1059
261	7121	1032
262	7149	1005
263	7174	978
264	7200	951
265	7227	923
266	7252	896
267	7279	869
268	7304	841
269	7329	814
270	7357	787
271	7385	760
272	7412	733
273	7440	706
274	7466	678
275	7491	651
276	7520	624
277	7547	597
278	7573	570
279	7610	543
280	7637	516
281	7664	489
282	7692	462
283	7725	435
284	7752	408
285	7779	380
286	7806	353
287	7835	326
288	7862	299
289	7888	272
290	7914	244
291	7941	217
292	7967	190
293	7995	163
294	8021	135
295	8047	108
296	8073	81
297	8099	54
298	8125	27
299	8151	0
