model,rmse,mae,fit_predict_s
RandomForest,0.18932835336573628,0.0973365368284408,6.574641227722168
DecisionTree,0.23627264030923992,0.13231477249212698,0.6309926509857178
LinearRegression,0.24837544699038602,0.16774775426488242,0.2409214973449707
Ridge,0.24853833445586618,0.16862835180054145,0.1406254768371582
XGBoost,0.27474544114292393,0.12319328594083624,2.7617883682250977
ExtraTrees,0.27968608797809136,0.10911425545318806,1.7869892120361328
LightGBM,0.4330877682918794,0.1661699062595215,1.249220371246338
GradientBoosting,0.4836477047155055,0.301170862319838,8.059133052825928
Lasso,0.6600056148458963,0.5406427894649419,0.24133992195129395
KNN,3.1131694233375695,2.0892385769777406,1.9410452842712402
