nama_pos,latitude,longitude,geometry,index_right,HYRIV_ID,NEXT_DOWN,MAIN_RIV,DIST_DN_KM,ORD_STRA,dist_deg
Ketonggo,-7.4241,111.4495,POINT (111.4495 -7.4241),2748,50400215,50399368,50387677,245.5,1,0.001183333332545722
Sekayu,-7.86520004,111.4479,POINT (111.4479 -7.86520004),4572,50411596,50411198,50387677,303.7,4,0.004183333333031669
Cepu,-7.1483,111.5986,POINT (111.5986 -7.1483),1510,50390791,50391195,50387677,194.2,6,0.0006833333335976022
Karanggeneng,-6.9896,112.3688,POINT (112.3688 -6.9896),804,50385278,50385424,50387677,35.1,6,4.7140451491524166e-05
Bojonegoro - Kali Kethek,-7.13680318,111.89776287,POINT (111.89776287 -7.13680318),1446,50390371,50390651,50387677,134.7,6,0.0013865133325614565
Badegan,-7.8849,111.3275,POINT (111.3275 -7.8849),4749,50412167,50411880,50387677,315.8,4,0.0005166666674316645
Lorog,-8.196982,111.341354,POINT (111.341354 -8.196982),6088,50418676,50419038,50419937,9.3,3,0.001033318708875551
Wonogiri Dam,-7.838796329,110.9254908,POINT (110.9254908 -7.838796329),4449,50411016,50410506,50387677,378.3,4,0.0015925333330528701
Kajangan,-7.365744,111.235721,POINT (111.235721 -7.365744),2415,50397516,50397660,50387677,271.6,5,0.001160666665890098
Boboh Kali Lamong,-7.2504,112.5623,POINT (112.5623 -7.2504),1897,50393700,50393566,50392385,11.8,4,0.0024833333326990115
Kali Anyar - Kreteg Abang,-7.553596,110.833859,POINT (110.833859 -7.553596),3227,50403319,50403052,50387677,331.4,3,0.0015126666658753505
Colo Weir,-7.751307,110.901425,POINT (110.901425 -7.751307),4047,50408686,50408685,50387677,367.6,1,0.0006583333330780761
Ngadipiro,-7.876715,110.991808,POINT (110.991808 -7.876715),4657,50411875,50411669,50387677,389.3,3,0.0011127503706142732
Bengkelolor,-7.2659,112.5016,POINT (112.5016 -7.2659),2003,50394655,50393699,50392385,13.4,3,0.011183333334118473
Ngrembang,-8.0244,110.948,POINT (110.948 -8.0244),5359,50415087,50414892,50387677,405.4,3,0.0009899494929973907
Karangnongko,-7.25358903,111.48798163,POINT (111.48798163 -7.25358903),1931,50394115,50393691,50387677,212.9,6,0.002878391289530704
Kali Pepe - Tugu Boto,-7.530054,110.793742,POINT (110.793742 -7.530054),3170,50402906,50403203,50387677,339.7,2,0.0071373333325297494
Kedungupit,-7.373851,111.005016,POINT (111.005016 -7.373851),2486,50398178,50397794,50387677,303.6,5,0.00021189633240024163
Brangkal,-7.0847,111.8492,POINT (111.8492 -7.0847),1408,50390057,50390371,50387677,140.0,4,0.0012833333335890984
Kali Pepe - PTPN,-7.56637609940404,110.830243130438,POINT (110.830243130438 -7.56637609940404),3343,50404048,50404049,50387677,336.2,1,0.001792766069940832
Babat,-7.110837,112.154488,POINT (112.154488 -7.110837),1314,50389230,50388795,50387677,83.2,6,0.0015431426982201366
Napel,-7.376188,111.464305,POINT (111.464305 -7.376188),2491,50398183,50397383,50387677,236.7,6,0.0002783333332558868
Peren,-7.641,110.8448,POINT (110.8448 -7.641),3615,50405918,50405917,50387677,346.7,2,0.006916666667349248
Jurug,-7.5667,110.861,POINT (110.861 -7.5667),3345,50404050,50403550,50387677,333.6,1,0.0005833333334948066
Jarum,-7.7337,110.7571,POINT (110.7571 -7.7337),4001,50408345,50407816,50387677,356.0,4,0.011172287142271593
Gunungsari,-8.137219,111.137746,POINT (111.137746 -8.137219),5859,50417614,50418144,50419297,11.4,4,2.4748737718223573e-05
Sumberrejo,-7.0672,112.0177,POINT (112.0177 -7.0672),1110,50387789,50387941,50387677,107.1,2,0.0015500000007762083
Floodway Bridge C,-6.964196,112.276556,POINT (112.276556 -6.964196),720,50384463,50384901,50387677,61.9,1,0.0005273333333093434
Arjowinangun - Pacitan,-8.19756104,111.11431399,POINT (111.11431399 -8.19756104),6087,50418675,50418765,50419297,4.7,4,0.0002693433331728556
Serenan,-7.6705,110.78,POINT (110.78 -7.6705),3721,50406621,50406245,50387677,348.2,5,0.0012499999997430677
